"filename", "language", "JSON with Comments", "CSS", "TypeScript React", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\product.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\user.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\userProfile.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\index.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\index.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\bookMapper.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 11, 46
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\logginResponseMapper.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\profileResponseMapper.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\rootReducer.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\authService.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 3, 12, 59
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\bookshelfService.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 16, 67
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\chatService.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\commentService.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\friendsService.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 9, 38
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\googleBooksService.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 4, 24
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\notificationService.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\productsService.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\userProfileService.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\bookListSlice.ts", "TypeScript", 0, 0, 0, 143, 0, 0, 0, 0, 0, 20, 163
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\bookshelfUpdatesSlice.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 8, 90
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\emailConfimationSlice.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 9, 64
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\friendsSlice.ts", "TypeScript", 0, 0, 0, 150, 0, 0, 0, 0, 0, 19, 169
